State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Chittoor,2023-05-21,2023,05,1.0656193541,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-05-27,2023,05,1.6009e-06,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-05-31,2023,05,7.6961121696,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-05,2023,06,0.0026989541,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-15,2023,06,0.0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-17,2023,06,0.3933160796,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-20,2023,06,11.7767640699,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-22,2023,06,7.9195818283,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-26,2023,06,0.9247769141,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-06-27,2023,06,0.0926540588,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-02,2023,07,0.7019710739,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-10,2023,07,0.8721159572,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-11,2023,07,1.1218311696,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-16,2023,07,0.2127577094,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-18,2023,07,1.0664566079,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-24,2023,07,2.0717531341,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-31,2023,07,0.0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-04,2023,08,0.0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-11,2023,08,9.3211322639,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-14,2023,08,1.4480096955,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-18,2023,08,0.2163224929,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-21,2023,08,0.1333336091,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-22,2023,08,0.0027325737,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-24,2023,08,9.1392153029,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-26,2023,08,2.003103958,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-29,2023,08,2.0654514033,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-08-30,2023,08,2.3410317202,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-09-24,2023,09,19.9222597736,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-10-07,2023,10,0.2301932567,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-10-08,2023,10,0.1295292483,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-10-20,2023,10,0.001903679,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-02,2023,11,0.3540742655,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-06,2023,11,13.1046677988,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-07,2023,11,4.3949751145,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-15,2023,11,1.8493441658,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-18,2023,11,0.4104173188,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-19,2023,11,0.0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-22,2023,11,5.517029935,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-23,2023,11,8.177225861,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-25,2023,11,4.189523314,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-11-27,2023,11,6.176537656,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-12-05,2023,12,82.112051447,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-12-10,2023,12,0.0605534597,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-12-26,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-12-28,2023,12,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-01,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-04,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-07,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-08,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-11,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-17,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-20,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-22,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-26,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-01-27,2023,01,0.0,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-02-02,2023,02,0.0,IMD GRID MODEL
